"District","School","Sample Name","Facility Location ID","Sample Type","Location Description","Date Collected","Result (mg/L)","Unit (mg/L)","Result (PPB)","Unit (PPB)","Qualifier","Reporting Limit","Immediate Response","Permanent Solution","Confirmation Sampling"
"Capital","Towne Pointe Elementary","CAP-11-1-2-DW-SS-24","24","SS","Water Fountain Room 2","01/14/2023","0.11","mg/L","110","ppb",,"0.002","Fixture Turned Off",,
"Capital","Towne Pointe Elementary","CAP-11-1-15-DW-SS-27","27","SS","Water Fountain Room 15","01/14/2023","0.11","mg/L","110","ppb",,"0.002","Fixture Turned Off",,
"Red Clay","Anna P. Mote Elementary School","RED-3-1-105-DW-SS-24","24","SS","Water Fountain Room 105","03/02/2023","0.11","mg/L","110","ppb",,"0.002","Fixture Shut Off","Fixture Permanently Removed From Service","NA"
"Christina","Wilson Elementary","CHR-26-B-30P-DW-SS-15","15","SS","Basement Water Fountain Room 30P","02/03/2023","0.1","mg/L","100","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water Bubbler taken out of service.  New water fountains added to school.","NA"
"Christina","Wilson Elementary","CHR-26-B-30P-DW-SS-16","16","SS","Basement Water Fountain Room 30P","02/03/2023","0.097","mg/L","97","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water Bubbler taken out of service.  New water fountains added to school.","NA"
"Christina","Wilson Elementary","CHR-26-1-06P-DW-SS-20","20","SS","First Floor Water Fountain Room 06P","02/03/2023","0.095","mg/L","95","ppb",,"0.001","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water Bubbler taken out of service.  New water fountains added to school.","NA"
"Red Clay","Heritage Elementary School","RED-12-1-K2-DW-SS-16","16","SS","Water Fountain Room K2","03/08/2023","0.087","mg/L","87","ppb",,"0.002","Fixture Shut Off","Fixture Replaced and Filter Installed","Retest Being Scheduled"
"Colonial","N3/Wallace Wallin","COL-15-1-WR-DWC-SS-15","15","SS","Water Fountain w/Cooler near Women's Restroom","12/22/2022","0.086","mg/L","86","ppb",,"0.001","Shutdown Fixture","Replaced Fixture and domestic water main and water lines in th building",
"Capital","Towne Pointe Elementary","CAP-11-1-8-DW-SS-18","18","SS","Water Fountain Room 8","01/14/2023","0.073","mg/L","73","ppb",,"0.002","Fixture Turned Off",,
"Capital","Towne Pointe Elementary","CAP-11-1-012-DW-SS-08","8","SS","Water Fountain Room 012","01/14/2023","0.066","mg/L","66","ppb",,"0.002","Fixture Turned Off",,
"Colonial","William Penn High School","COL-13-01-CAFE-DWC-SS-43","43","SS","Water Fountain w/Cooler Cafeteria","01/13/2023","0.057","mg/L","57","ppb",,"0.002","Shutdown Fixture","Removed",
"Red Clay","Thomas McKean High School","RED-23-B-WLR-DW-SS-23","23","SS","Basement Women's Locker Room Water Fountain","03/17/2023","0.056","mg/L","56","ppb",,"0.002","Fixture Shut Off","Fixture Replaced","Retest Being Scheduled"
"Red Clay","Anna P. Mote Elementary School","RED-3-1-107-DW-SS-26","26","SS","Water Fountain Room 107","03/02/2023","0.05","mg/L","50","ppb",,"0.002","Fixture Shut Off","Fixture Permanently Removed From Service","NA"
"Red Clay","Thomas McKean High School","RED-23-B-POOL-DW-SS-24","24","SS","Basement Water Fountain in Pool Room","03/17/2023","0.048","mg/L","48","ppb",,"0.002","Fixture Shut Off","Fixture Permanently Removed From Service","NA"
"Christina","Glasgow High School","CHR-12-2-418-DWC-SS-31","31","SS","Water Fountain w/Cooler by Room 418","05/20/2023","0.045","mg/L","45","ppb",,"0.002","Fountain taken out of service.","Fountain being replaced with bottle fill water fountain",
"Capital","East Dover Elementary School","CAP-4-1-120-DW-SS-09","9","SS","Water Fountain Room 120","01/14/2023","0.043","mg/L","43","ppb",,"0.002","Fixture Turned Off","Permanently disconnecting","NA"
"Capital","Towne Pointe Elementary","CAP-11-1-04-DW-SS-22","22","SS","Water Fountain Room 04","01/14/2023","0.043","mg/L","43","ppb",,"0.002","Fixture Turned Off",,
"Christina","Albert H. Jones Elementary School","CHR-13-2-A204-HW-DWC-SS-05","5","SS","Second Floor Hallway Water Fountain w/Cooler Room A204","01/25/2023","0.042","mg/L","42","ppb",,"0.002","Water Cooler turned off.  Portable water station added.","Water Cooler was replaced.",
"Colonial","William Penn High School","COL-13-01-CAFE-DWC-S-41","41","SS","Water Fountain w/Cooler Cafeteria","01/13/2023","0.042","mg/L","42","ppb",,"0.002","Shutdown Fixture","Removed",
"Colonial","Castle Hills Elementary","COL-3-1-C8-DWC-SS-49","49","SS","Water Fountain w/Cooler Room C8","01/14/2023","0.04","mg/L","40","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Red Clay","Warner Elementary School","RED-25-B-GYM-DW-SS-16","16","SS","Basement Water Fountain in Gym","02/24/2023","0.04","mg/L","40","ppb",,"0.001","Fixture Shut Off","Fixture Permanently Removed From Service","NA"
"Colonial","Castle Hills Elementary","COL-3-1-B2-DW-SS-01","1","SS","Water Fountain Room B2","01/05/2023","0.038","mg/L","38","ppb",,"0.002","Shutdown Fixture","Replace bubbler and water supply line",
"Indian River","East Millsboro Elementary School","IR-1-1-43-DWC-SS-11","11","SS","Water Fountain w/Cooler Room 43","01/11/2023","0.037","mg/L","37","ppb",,"0.001","Fixture Shut Off","Filter Installed","Sampling confirmed levels below action level."
"Sussex Vo-Tech","Sussex Tech","ST-1-1-DO-HW-WR-DWC-SS-60","60","SS","District Office Hallway Water Fountain w/Cooler by Women's Restroom","02/11/2023","0.035","mg/L","35","ppb",,"0.002","Not for Drinking/Cooking Signage posted & communications sent to stakeholders","Unit Replaced","Confirmation sampling confirmed lead levels reduced below action level"
"Red Clay","Forest Oak Elementary School","RED-9-1-302-DW-SS-09","9","SS","Water Fountain Room 302","03/07/2023","0.034","mg/L","34","ppb",,"0.002","Fixture Shut Off","Fixture Permanently Removed From Service","NA"
"Capital","Towne Pointe Elementary","CAP-11-1-09-DW-SS-11","11","SS","Water Fountain Room 09","01/14/2023","0.033","mg/L","33","ppb",,"0.002","Fixture Turned Off",,
"Charter School","Charter School of Wilmington","RED-1-3-323-DWC-SS-56","56","SS","Third Floor Water Fountain w/Cooler Room 323","03/03/2023","0.033","mg/L","33","ppb",,"0.002","Fixture Shut Off","Fixture to be replaced",
"Colonial","Harry O. Eisenberg Elementary School","COL-7-1-AUD-DWC-SS-30L","30","SS","Left Water Fountain w/Cooler in Auditorium","01/10/2023","0.033","mg/L","33","ppb",,"0.001","Shutdown Fixture","Removed Fixture",
"Colonial","Castle Hills Elementary","COL-3-1-A6-DWC-SS-40","40","SS","Water Fountain w/Cooler Room A6","01/14/2023","0.032","mg/L","32","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Red Clay","Thomas McKean High School","RED-23-B-MLR-DW-SS-22","22","SS","Basement Men's Locker Room Water Fountain","03/17/2023","0.03","mg/L","30","ppb",,"0.002","NA","NA","NA"
"Colonial","Castle Hills Elementary","COL-3-1-B1-DW-SS-04","4","SS","Water Fountain Room B1","01/05/2023","0.029","mg/L","29","ppb",,"0.002","Shutdown Fixture","Replace bubbler and water supply line",
"Colonial","Castle Hills Elementary","COL-3-1-B3-DW-SS-09","9","SS","Water Fountain Room B3","01/05/2023","0.029","mg/L","29","ppb",,"0.002","Shutdown Fixture","Replace bubbler and water supply line",
"Indian River","East Millsboro Elementary School","IR-1-1-44-DWC-SS-12","12","SS","Water Fountain w/Cooler Room 44","01/11/2023","0.029","mg/L","29","ppb",,"0.001","Fixture Shut Off","Permanently Removed","NA"
"Capital","Towne Pointe Elementary","CAP-11-1-14-DW-SS-28","28","SS","Water Fountain Room 14","01/14/2023","0.028","mg/L","28","ppb",,"0.002","Fixture Turned Off",,
"Colonial","Gunning Bedford Middle School","COL-06-01-308-DW-SS-33","33","SS","Water Fountain Room 308","01/20/2023","0.027","mg/L","27","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Red Clay","Heritage Elementary School","RED-12-1-14-DW-SS-23","23","SS","Water Fountain Room 14","03/08/2023","0.027","mg/L","27","ppb",,"0.002","NA","NA","NA"
"Capital","Towne Pointe Elementary","CAP-11-1-6-DW-SS-20","20","SS","Water Fountain Room 6","01/14/2023","0.026","mg/L","26","ppb",,"0.002","Fixture Turned Off",,
"Colonial","Castle Hills Elementary","COL-3-1-A2-DWC-SS-42","42","SS","Water Fountain w/Cooler Room A2","01/14/2023","0.022","mg/L","22","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Colonial","Castle Hills Elementary","COL-3-1-MP-DW-SS-28","28","SS","Water Fountain Multi-Purpose Room","01/10/2023","0.019","mg/L","19","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"NCC Vo-Tech","Howard High School of Technology","NCC Vo-Tech-3-1-CAF-DWC-SS-06","6","SS","Water Fountain w/Cooler Cafeteria","03/11/2023","0.019","mg/L","19","ppb",,"0.002","Turned off unit and placed a sign stating not for consumption","Per our confirmation sampling we will need to replace supply piping in the wall.  Planned to keep these units offline for the foreseeable future",
"Capital","Towne Pointe Elementary","CAP-11-1-011-DW-SS-09","9","SS","Water Fountain Room 011","01/14/2023","0.018","mg/L","18","ppb",,"0.002","Fixture Turned Off",,
"Capital","Towne Pointe Elementary","CAP-11-1-7-DW-SS-19","19","SS","Water Fountain Room 7","01/14/2023","0.017","mg/L","17","ppb",,"0.002","Fixture Turned Off",,
"Cape Henlopen","Beacon Middle School","CAPE-1-1-502-WBF-SS-08","8","SS","Water Bottle Filler Room 502","03/09/2023","0.016","mg/L","16","ppb",,"0.002","Shut Off","Replaced Fixture","Sampling complete and results below program action level"
"Colonial","William Penn High School","COL-13-01-104-DWC-SS-29","29","SS","Water Fountain w/Cooler Room 104","01/13/2023","0.016","mg/L","16","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Colonial","Castle Hills Elementary","COL-3-1-B4-DW-SS-06","6","SS","Water Fountain Room B4","01/05/2023","0.015","mg/L","15","ppb",,"0.001","Shutdown Fixture","Replace bubbler and water supply line",
"Colonial","Pleasantville Elementary School","Col-11-1-7-DW-SS-07","7","SS","Water Fountain Room 7","01/05/2023","0.015","mg/L","15","ppb",,"0.002","Shutdown Fixture","Replace bubbler and domestic feed lines",
"Red Clay","Anna P. Mote Elementary School","RED-3-1-124-DW-SS-15","15","SS","Water Fountain Room 124","03/02/2023","0.015","mg/L","15","ppb",,"0.002","Fixture Shut Off","Fixture Permanently Removed From Service","NA"
"Red Clay","Anna P. Mote Elementary School","RED-3-2-226-DW-SS-38","38","SS","Second Floor Water Fountain Room 226","03/02/2023","0.015","mg/L","15","ppb",,"0.002","Fixture Shut Off","Replaced With New Filtered Water Fountain","Awaiting test results (from week of 7/24)"
"Christina","Glasgow High School","CHR-12-1-200-DWC-SS-03","3","SS","Water Fountain w/Cooler by Room 200","05/20/2023","0.014","mg/L","14","ppb",,"0.002","Fountain taken out of service.","Fountain being replaced with bottle fill water fountain",
"Christina","McVey Elementary School","CHR-19-1-20-DW-SS-09","9","SS","Water Fountain Room 20","02/01/2023","0.014","mg/L","14","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Indian River","East Millsboro Elementary School","IR-1-1-CAF-WBF-SS-07","7","SS","Water Bottle Filler in Cafeteria","01/11/2023","0.014","mg/L","14","ppb",,"0.001","Fixture Shut Off","Filter Installed","Retested after new filter installed and passed"
"Red Clay","John Dickinson High School","RED-14-1-BR-DW-SS-16","16","SS","Water Fountain by Boiler Room","03/09/2023","0.014","mg/L","14","ppb",,"0.002","NA","NA","NA"
"Christina","McVey Elementary School","CHR-19-1-21-DW-SS-18","18","SS","Water Fountain Room 21","02/01/2023","0.013","mg/L","13","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Colonial","Castle Hills Elementary","COL-3-1-A4-DWC-SS-41","41","SS","Water Fountain w/Cooler Room A4","01/14/2023","0.013","mg/L","13","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Colonial","Harry O. Eisenberg Elementary School","COL-7-1-HW-15-DWC-SS-20","20","SS","Water Fountain w/Cooler in Hallway by Room 15","01/06/2023","0.013","mg/L","13","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"NCC Vo-Tech","Howard High School of Technology","NCC Vo-Tech-3-1-CAF-DWC-SS-05","5","SS","Water Fountain w/Cooler Cafeteria","03/11/2023","0.013","mg/L","13","ppb",,"0.002","Turned off unit and placed a sign stating not for consumption","Per our confirmation sampling we will need to replace supply piping in the wall.  Planned to keep these units offline for the foreseeable future",
"Caesar Rodney","DAFB Middle/Welch Elementary","CR-5-2-214-DW-SS-35","35","SS","Room 214 Water Fountain","03/30/2023","0.012","mg/L","12","ppb",,"0.002","Turn off fixture","Change fixture","Occurring Summer 2023"
"Christina","Albert H. Jones Elementary School","CHR-13-1-CAF-HW-DWC-SS-26","26","SS","First Floor Water Fountain w/Cooler in Hallway Near Cafeteria","01/25/2023","0.012","mg/L","12","ppb",,"0.001","Water Cooler turned off.  Portable water station added.","Water Cooler was replaced.",
"Christina","West Park Place Elementary School","CHR-25-1-114-DW-SS-26","26","SS","Water Fountain Room 114","02/07/2023","0.012","mg/L","12","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.","NA"
"Colonial","Castle Hills Elementary","COL-3-1-C1-DWC-SS-45","45","SS","Water Fountain w/Cooler Room C1","01/14/2023","0.012","mg/L","12","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Colonial","Castle Hills Elementary","COL-3-1-A1-DW-SS-72","72","SS","Water Fountain in Room A1","02/28/2023","0.012","mg/L","12","ppb",,"0.002","Shutdown Fixture","Replace bubbler and water supply line",
"Colonial","Harry O. Eisenberg Elementary School","COL-7-1-AUD-DWC-SS-31R","31","SS","Right Water Fountain w/Cooler in Auditorium","01/10/2023","0.012","mg/L","12","ppb",,"0.001","Shutdown Fixture","Removed Fixture",
"Colonial","Kathleen Wilbur Elementary School","COL-3-1-A1-DW-SS-72","72","SS","Water Fountain in Room A1","02/28/2023","0.012","mg/L","12","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Red Clay","Forest Oak Elementary School","RED-9-1-310-DW-SS-24","24","SS","Water Fountain Room 310","03/07/2023","0.012","mg/L","12","ppb",,"0.002","Fixture Shut Off","Fixture Permanently Removed From Service","NA"
"Red Clay","Richardson Park Elementary School","RED-19-2-221-WBF-SS-34","34","SS","Second Floor Water Bottle Filler Room 221","03/14/2023","0.012","mg/L","12","ppb",,"0.002","NA","NA","NA"
"Caesar Rodney","DAFB Middle/Welch Elementary","CR-4-1-166-DWC-SS-14","14","SS","Water Fountain w/Cooler by Room 166","03/30/2023","0.011","mg/L","11","ppb",,"0.002","Turn off fixture","Change fixture","Occurring Summer 2023"
"Colonial","Castle Hills Elementary","COL-3-1-A5-DWC-SS-38","38","SS","Water Fountain w/Cooler Room A5","01/14/2023","0.011","mg/L","11","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Colonial","New Castle Elementary School","COL-10-1-AUD-DWC-SS-08","8","SS","Water Fountain w/Cooler in Auditorium","01/20/2023","0.011","mg/L","11","ppb",,"0.002","Shutdown Fixture","Removed Fixture",
"Red Clay","Heritage Elementary School","RED-12-1-25-DW-SS-32","32","SS","Water Fountain Room 25","03/08/2023","0.011","mg/L","11","ppb",,"0.002","NA","NA","NA"
"Red Clay","Heritage Elementary School","RED-12-1-19-DW-SS-37","37","SS","Water Fountain Room 19","03/08/2023","0.011","mg/L","11","ppb",,"0.002","NA","NA","NA"
"Christina","Albert H. Jones Elementary School","CHR-13-2-A202-DW-SS-10","10","SS","Second Floor Water Fountain Room A202","01/25/2023","0.01","mg/L","10","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture was replaced",
"Christina","Marshall Elementary School","CHR-18-1-016-DW-SS-47","47","SS","Room 016 Water Fountain","01/31/2023","0.01","mg/L","10","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Christina","McVey Elementary School","CHR-19-1-16-DW-SS-35","35","SS","Water Fountain Room 16","02/01/2023","0.01","mg/L","10","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Colonial","Castle Hills Elementary","COL-3-1-C7-DWC-SS-48","48","SS","Water Fountain w/Cooler Room C7","01/14/2023","0.01","mg/L","10","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Red Clay","Thomas McKean High School","RED-23-B-E1-DW-SS-26","26","SS","Basement Water Fountain Room E1","03/17/2023","0.01","mg/L","10","ppb",,"0.002","Fixture Shut Off","Fixture Permanently Removed From Service","NA"
"Colonial","Castle Hills Elementary","COL-3-1-M16-DWC-SS-43","43","SS","Water Fountain w/Cooler Room M16","01/14/2023","0.0098","mg/L","9.8","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Colonial","Wilmington Manor Elementary School","COL-14-01-20-DW-SS-08","8","SS","Water Fountain Room 20","01/10/2023","0.0098","mg/L","9.8","ppb",,"0.002","Shutdown Fixture","Replace bubbler and domestic feed lines",
"Colonial","New Castle Elementary School","COL-10-1-AUD-DWC-SS-09","9","SS","Water Fountain w/Cooler in Auditorium","01/20/2023","0.0097","mg/L","9.7","ppb",,"0.002","Shutdown Fixture","Removed Fixture",
"Christina","Shue-Medill Middle School","CHR-23-1-105-DWC-SS-07","7","SS","Water Fountain w/Cooler by Room 105","05/13/2023","0.0096","mg/L","9.6","ppb",,"0.002","Fountain taken out of service.","Fountain being replaced with bottle fill water fountain","NA"
"Christina","Wilson Elementary","CHR-26-1-10P-DW-SS-05","5","SS","Water Fountain Room 10P","02/03/2023","0.0096","mg/L","9.6","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.","NA"
"Christina","West Park Place Elementary School","CHR-25-1-103-DW-SS-04","4","SS","Water Fountain Room 103","02/07/2023","0.0093","mg/L","9.3","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.","NA"
"Red Clay","Anna P. Mote Elementary School","RED-3-2-227-DW-SS-40","40","SS","Second Floor Water Fountain Room 227","03/02/2023","0.0093","mg/L","9.3","ppb",,"0.002","Fixture Shut Off","Fixture Permanently Removed From Service","NA"
"Charter School","Charter School of Wilmington","RED-1-3-323-DWC-SS-55","55","SS","Third Floor Water Fountain w/Cooler Room 323","03/03/2023","0.0091","mg/L","9.1","ppb",,"0.002","Fixture Shut Off","Fixture to be replaced",
"Christina","McVey Elementary School","CHR-19-1-7-DW-SS-30","30","SS","Water Fountain Room 7","02/01/2023","0.0091","mg/L","9.1","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.","NA"
"Christina","McVey Elementary School","CHR-19-1-12-DWC-SS-38","38","SS","Water Fountain w/Cooler Room 12","02/01/2023","0.0091","mg/L","9.1","ppb",,"0.002","Water Cooler taken out of service","Water Cooler taken out of service",
"Indian River","East Millsboro Elementary School","IR-1-1-MR-WBF-SS-09","9","SS","Water Bottle Filler by Men's Restroom","01/11/2023","0.0091","mg/L","9.1","ppb",,"0.001","Fixture Shut Off","No action taken at this time","Sampling confirmed levels below action level."
"Red Clay","John Dickinson High School","RED-14-2-E206-DW-SS-20","20","SS","Second Floor Water Fountain Room E206","03/09/2023","0.0091","mg/L","9.1","ppb",,"0.002","NA","NA","NA"
"Colonial","Gunning Bedford Middle School","COL-06-01-GYM-DWC-SS-15","15","SS","Water Fountain w/Cooler in Gym","01/20/2023","0.0089","mg/L","8.9","ppb",,"0.002","Shutdown Fixture","Removed Fixture",
"Indian River","Ennis School (New)","IR-2-NUR-NS-SS-9","9","SS","Nurses Sink inside Nurses Office","01/07/2023","0.0089","mg/L","8.9","ppb",,"0.002","Fixture Shut Off","Signage Posted - Handwashing Only","NA"
"Sussex Vo-Tech","Sussex Tech","ST-1-1-ERC-HW-570-DWC-SS-52","52","SS","Education Resource Center Hallway Water Fountain w/Cooler by Room 570","02/11/2023","0.0088","mg/L","8.8","ppb",,"0.002","Not for Drinking/Cooking Signage posted & communications sent to stakeholders","Unit Replaced","Confirmation sampling confirmed lead levels reduced below action level"
"Lake Forest","Lake Forest South Elementary","Lake-6-1-209-DW-SS-10","10","SS","Water Fountain Room 209","05/04/2023","0.0087","mg/L","8.7","ppb",,"0.002","Shut down","Removed fixture",
"Christina","Brookside Elementary School","CHR-5-1-112-DW-SS-33","33","SS","Water Fountain Room 112","01/20/2023","0.0084","mg/L","8.4","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture will be replaced.  Additional water coolers will be added to the school.","NA"
"Christina","Marshall Elementary School","CHR-18-1-021-DW-SS-18","18","SS","Room 021 Water Fountain","01/31/2023","0.0084","mg/L","8.4","ppb",,"0.001","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Christina","McVey Elementary School","CHR-19-1-13-DW-SS-33","33","SS","Water Fountain Room 13","02/01/2023","0.0083","mg/L","8.3","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Red Clay","Heritage Elementary School","RED-12-1-24-DW-SS-28","28","SS","Water Fountain Room 24","03/08/2023","0.0083","mg/L","8.3","ppb",,"0.002","NA","NA","NA"
"Red Clay","Heritage Elementary School","RED-12-1-23-DW-SS-35","35","SS","Water Fountain Room 23","03/08/2023","0.0082","mg/L","8.2","ppb",,"0.002","NA","NA","NA"
"Colonial","Harry O. Eisenberg Elementary School","COL-7-1-HW-15-DWC-SS-19","19","SS","Water Fountain w/Cooler in Hallway by Room 15","01/06/2023","0.0081","mg/L","8.1","ppb",,"0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Christina","Maclary Elementary School","CHR-17-1-024-DW-SS-30","30","SS","Water Fountain Room 024","01/31/2023","0.008","mg/L","8","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Colonial","Wilmington Manor Elementary School","COL-14-01-27-DW-SS-11","11","SS","Water Fountain Room 27","01/10/2023","0.008","mg/L","8","ppb",,"0.002","Shutdown Fixture","Replace bubbler and domestic feed lines",
"Christina","Glasgow High School","CHR-12-1-200-DWC-SS-01","1","SS","Water Fountain w/Cooler by Room 200","05/20/2023","0.0077","mg/L","7.7","ppb",,"0.002","Fountain taken out of service.","Fountain being replaced with bottle fill water fountain",
"Red Clay","Heritage Elementary School","RED-12-1-20-DW-SS-26","26","SS","Water Fountain Room 20","03/08/2023","0.0074","mg/L","7.4","ppb",,"0.002","NA","NA","NA"
"Capital","Booker T. Washington Elementary School","CAP-1-1-135-DW-SS-21","21","SS","Water Fountain Room 135","01/14/2023","0.0073","mg/L","7.3","ppb",,"0.002","NA","NA","NA"
"Red Clay","Cab Calloway School of the Arts","CHAR-6-1-122-DWC-SS-12L","12","SS","Left Water Fountain w/Cooler Room 122","02/28/2023","0.0072","mg/L","7.2","ppb",,"0.002","NA","NA","NA"
"Christina","Christina Early Education Center","CHR-28-1-GYM-DWC-SS-09","9","SS","Water Fountain w/Cooler Gym","04/28/2023","0.0071","mg/L","7.1","ppb",,"0.002","NA","NA","NA"
"Christina","Maclary Elementary School","CHR-17-1-009-DW-SS-34","34","SS","Water Fountain Room 009","01/31/2023","0.007","mg/L","7","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Christina","Smith Elementary School","CHR-24-1-105-DW-SS-28","28","SS","Water Fountain Room 105","02/02/2023","0.007","mg/L","7","ppb",,"0.002","NA","NA","NA"
"Capital","North Dover Elementary","CAP-9-1-AHall-DW-SS-18","18","SS","Water Fountain in A Hall","01/07/2023","0.0069","mg/L","6.9","ppb",,"0.002","Fixture Turned Off",,
"Christina","McVey Elementary School","CHR-19-1-14-DW-SS-36","36","SS","Water Fountain Room 14","02/01/2023","0.0069","mg/L","6.9","ppb",,"0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
